Max SAT,Average House Price
1202,313845.1115702479
1107,224057.75862068965
956,122893.86503067485
713,102166.66666666669
979,201253.85714285716
1097,199894.7521865889
1130,204423.0769230769
941,187800.0
1107,298151.54545454547
1185,246278.24752475249
1077,280061.90476190473
1094,239118.75
984,159438.09523809524
1039,119262.62626262626
1136,153066.25
1053,110037.5
1061,108808.69565217392
879,72766.66666666667
1111,92133.33333333331
964,83120.61855670103
1028,78037.14285714286
961,68100.0
950,66366.66666666667
1016,132275.0
983,94648.78048780488
827,133900.0
915,81855.55555555556
959,81900.0
933,95691.17647058824
991,132022.22222222222
806,188392.537414966
988,148226.5625
1074,202470.58823529413
940,201147.61904761905
1129,397544.8888888889
1071,187750.0
985,157826.14379084966
1107,340792.72839506174
1146,395131.5671641791
1020,92287.5
1050,163063.2105263158
1035,166150.0
1059,188905.6603773585
978,82079.16666666667
1058,84652.06611570247
814,68725.0
934,80684.21052631579
903,79718.18181818182
881,96382.05128205128
887,75940.0
941,82593.10344827586
1055,88650.0
890,69906.25
849,63540.0
946,84216.12903225806
932,79600.0
784,94200.0
938,75318.51851851853
903,63540.0
899,69980.95238095238
714,58828.57142857143
761,65525.0
960,185144.44444444444
867,98855.55555555556
988,70533.25
934,76066.66666666667
1047,73800.0
1152,90077.22772277228
1014,68458.33333333333
1041,81813.33333333333
1020,94600.0
1068,89500.0
880,66946.34146341463
888,84580.0
868,70288.88888888889
917,81375.0
890,95800.0
1024,120354.54545454546
1037,74800.0
998,80800.43859649122
976,130120.0
955,96650.0
1082,221139.48684210525
816,63750.0
881,63212.5
738,69000.0
1066,85325.92592592593
914,90705.26315789472
963,99160.0
996,107327.27272727272
984,93182.35294117648
847,54108.333333333336
783,148150.0
1014,164100.0
993,106936.84210526316
991,79913.33333333333
1031,93850.0
1057,198325.0
1023,61400.0
999,80117.39130434782
994,97083.87096774194
996,239039.71198957428
998,274926.8660287081
994,255340.15646258503
1113,264190.95454545453
1132,342571.625
1139,471991.064516129
938,226075.95187165771
1029,336664.52592592593
771,185646.46464646465
724,119507.28155339806
843,242806.0945945946
998,255909.4651539708
939,192785.07462686568
996,150364.70588235295
1076,124433.33333333331
851,127621.62162162164
999,210618.18181818185
1081,277575.0
997,215968.58571428573
1002,263555.5555555556
969,201751.208
915,157263.63636363635
863,194293.6170212766
899,184800.0
782,161114.2857142857
991,186107.48299319728
979,227386.51459854012
957,225941.66666666663
1164,360323.8181818182
929,296097.2427184466
1170,248851.10638297876
909,180973.91304347827
993,208779.4642857143
819,193421.05263157896
947,198608.2191780822
969,160762.06896551725
991,215430.98591549296
991,209109.75609756095
976,269615.88552188553
1033,349900.0
1111,466381.1219512195
1033,370912.4
1119,335181.04761904763
1136,500001.0
997,249836.3760683761
979,172495.92517006802
945,375000.0
929,71072.0
972,70344.0
1073,225619.0082644628
1046,202200.0
1093,100066.66666666669
828,75110.0
1060,126407.14285714286
980,71500.0
1087,90616.66666666669
1198,152180.0
923,132871.42857142858
1109,145000.0
1073,121044.44444444444
986,149344.44444444444
992,98589.2156862745
1005,130840.0
937,103100.0
924,98628.57142857143
912,44000.0
1002,49775.0
911,54350.0
914,152129.41176470587
956,195944.73684210525
943,201800.0
948,258750.0
997,251016.92307692303
872,136892.59259259258
1115,369729.5588235294
997,233745.61403508767
1067,197762.96296296292
963,205957.85123966943
1025,200585.7142857143
890,107930.0
1093,148488.29787234042
968,74583.33333333333
1109,282600.0
1100,259986.36363636365
986,246717.53928571427
1107,281449.20175438595
998,149571.97727272726
996,392650.0
1149,245083.3333333333
1053,224322.22222222225
1220,273477.7777777777
999,328360.4768211921
1117,476841.3125
998,193039.4495412844
1084,328563.63636363635
998,166202.5641025641
941,116619.45701357466
969,121137.5
968,73627.5
977,142752.38095238095
925,104500.0
933,147992.7831325301
888,108480.0
984,132705.88235294115
973,140458.33333333334
973,118150.0
1002,464867.0
1021,249338.53846153847
961,128496.22641509434
846,104062.5
961,139300.0
931,124557.92105263156
965,176224.41463414635
736,96476.92307692308
955,151423.80952380953
961,120177.64227642276
972,161841.66666666666
1078,154613.6690647482
917,304150.0
979,136111.25
1042,127679.66101694916
874,193600.0
922,114440.90909090907
895,107781.63265306124
970,79290.0
1046,131824.39024390245
1048,125831.34
942,113645.65217391304
1039,148520.0
976,113604.16666666669
924,73489.28571428571
1029,98371.42857142857
948,56300.0
987,72328.57142857143
942,46250.0
1035,133800.0
988,215796.21072796936
995,168979.44162436549
967,121498.73417721518
1101,195252.3409090909
1159,339320.17647058825
1110,221085.1170212766
1041,204180.7692307692
1038,228768.47368421053
989,172938.88888888888
1053,151983.33333333334
1023,183200.0
1063,174807.14285714287
957,144866.66666666666
946,110800.0
981,338759.1147826087
899,72130.55555555556
971,136393.75
1017,136264.44444444444
960,119887.80487804876
997,130301.6393442623
1040,144760.0
995,101940.0
990,130169.90291262136
1021,178352.63157894736
1049,288750.0
1126,230519.04761904763
987,170983.9375
987,308484.1223404256
996,364400.1393939394
983,444404.8125
1155,391170.9016393443
1110,370354.5454545455
895,302750.0
1184,329202.1621621622
1100,299926.0
1013,364514.5714285714
1035,196474.58181818185
954,240289.0152905199
1096,298711.8193277311
985,268033.3333333333
951,226925.8064516129
1214,362979.0134680135
1228,334293.6956521739
1068,362875.25
930,175000.0
1116,270522.1393442623
1072,91634.06593406592
1067,87351.35135135135
967,67704.54545454546
964,116487.7551020408
1009,164419.04761904763
1038,177066.66666666666
1024,155200.0
1150,181350.0
1141,206157.95454545456
1027,237650.0
1002,158814.2857142857
1048,126450.0
1104,79200.0
962,199050.0
982,122520.0
949,112540.0
884,90166.66666666669
853,71275.0
1007,67500.0
956,128548.27586206896
1037,131016.66666666669
942,65718.75
1095,47100.0
878,80562.5
982,70551.51515151515
982,73885.71428571429
993,93930.0
947,76426.5306122449
973,64948.48484848485
1021,137500.0
866,197166.66666666663
923,220193.3333333333
1085,227905.45454545456
1042,320300.3333333333
951,82300.0
